id,product_name,brand,price,reviews_count,avg_rate
228,Signal Complete 8 Toothpaste With Charcoal - 50 Ml,Signal,EGP 12.95,113 verified ratings,4.4/5
229,White Large Facial Tissues - 3 Packs– 550 Tissues – 3 Layers,White,EGP 62.25,149 verified ratings,4.6/5
230,NIVEA Invisible Black & White Original Antiperspirant Deodorant Spray - For Women - 150ml,NIVEA,EGP 42.50,470 verified ratings,4.5/5
231,Dice 100% Cotton Three Sleeveless Solid Men T-shirt -White,Dice,EGP 129.99,179 verified ratings,4.3/5
232,Mesery Bundle OF Six Underwear - For Women,Mesery,EGP 129.99,194 verified ratings,4.4/5
233,Italiano Shells Pasta - 400g,Italiano,EGP 12.50,259 verified ratings,4.6/5
234,Mesery Bundle Of Six Comfy Slip On Regular Boxers,Mesery,EGP 199.00,898 verified ratings,4/5
235,Avuva Body Splash Flower + Shower Gel - 253ml Gift,Avuva,EGP 118.00,2 verified ratings,4.5/5
236,Floveme Portable Power Banks 10000 MAh Utra Slim Fast Charger,Floveme,EGP 199.00,9 verified ratings,4.1/5
237,Panasonic P-6JRC Filter Cartridge,Panasonic,EGP 317.00,544 verified ratings,4.6/5
